ticker,yfinance_symbol,name,gics_sector,gics_sub_industry
KR,KR,Kroger,Consumer Staples,Food Retail
LHX,LHX,L3Harris,Industrials,Aerospace & Defense
LH,LH,Labcorp,Health Care,Health Care Services
LRCX,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment
LVS,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LDOS,LDOS,Leidos,Industrials,Diversified Support Services
LEN,LEN,Lennar,Consumer Discretionary,Homebuilding
LII,LII,Lennox International,Industrials,Building Products
LLY,LLY,Lilly (Eli),Health Care,Pharmaceuticals
LIN,LIN,Linde plc,Materials,Industrial Gases
LYV,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
LMT,LMT,Lockheed Martin,Industrials,Aerospace & Defense
L,L,Loews Corporation,Financials,Multi-line Insurance
LOW,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
LULU,LULU,Lululemon Athletica,Consumer Discretionary,Apparel Accessories & Luxury Goods
LITE,LITE,Lumentum,Information Technology,Communications Equipment
LYB,LYB,LyondellBasell,Materials,Specialty Chemicals
MTB,MTB,M&T Bank,Financials,Regional Banks
MPC,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MAR,MAR,Marriott International,Consumer Discretionary,Hotels Resorts & Cruise Lines
MRSH,MRSH,Marsh McLennan,Financials,Insurance Brokers
MLM,MLM,Martin Marietta Materials,Materials,Construction Materials
MRVL,MRVL,Marvell Technology,Information Technology,Semiconductors
MAS,MAS,Masco,Industrials,Building Products
MA,MA,Mastercard,Financials,Transaction & Payment Processing Services
MKC,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
MCD,MCD,McDonald's,Consumer Discretionary,Restaurants
MCK,MCK,McKesson Corporation,Health Care,Health Care Distributors
MDT,MDT,Medtronic,Health Care,Health Care Equipment
MRK,MRK,Merck & Co.,Health Care,Pharmaceuticals
META,META,Meta Platforms,Communication Services,Interactive Media & Services
MET,MET,MetLife,Financials,Life & Health Insurance
MTD,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
MGM,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
MCHP,MCHP,Microchip Technology,Information Technology,Semiconductors
MU,MU,Micron Technology,Information Technology,Semiconductors
MSFT,MSFT,Microsoft,Information Technology,Systems Software
MAA,MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs
MRNA,MRNA,Moderna,Health Care,Biotechnology
TAP,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
MDLZ,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MPWR,MPWR,Monolithic Power Systems,Information Technology,Semiconductors
MNST,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MCO,MCO,Moody's Corporation,Financials,Financial Exchanges & Data
MS,MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MOS,MOS,Mosaic Company,Materials,Fertilizers & Agricultural Chemicals
MSI,MSI,Motorola Solutions,Information Technology,Communications Equipment
MSCI,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data
NDAQ,NDAQ,Nasdaq Inc.,Financials,Financial Exchanges & Data
NTAP,NTAP,NetApp,Information Technology,Technology Hardware Storage & Peripherals
NFLX,NFLX,Netflix,Communication Services,Movies & Entertainment
NEM,NEM,Newmont,Materials,Gold
NWSA,NWSA,News Corp (Class A),Communication Services,Publishing
NWS,NWS,News Corp (Class B),Communication Services,Publishing
NEE,NEE,NextEra Energy,Utilities,Multi-Utilities
NKE,NKE,Nike Inc.,Consumer Discretionary,Apparel Accessories & Luxury Goods
NI,NI,NiSource,Utilities,Multi-Utilities
NDSN,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
NSC,NSC,Norfolk Southern,Industrials,Rail Transportation
NTRS,NTRS,Northern Trust,Financials,Asset Management & Custody Banks
NOC,NOC,Northrop Grumman,Industrials,Aerospace & Defense
NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Hotels Resorts & Cruise Lines
NRG,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NUE,NUE,Nucor,Materials,Steel
NVDA,NVDA,Nvidia,Information Technology,Semiconductors
NVR,NVR,NVR Inc.,Consumer Discretionary,Homebuilding
NXPI,NXPI,NXP Semiconductors,Information Technology,Semiconductors
ORLY,ORLY,O'Reilly Automotive,Consumer Discretionary,Automotive Retail
OXY,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
ODFL,ODFL,Old Dominion,Industrials,Cargo Ground Transportation
OMC,OMC,Omnicom Group,Communication Services,Advertising
ON,ON,ON Semiconductor,Information Technology,Semiconductors
OKE,OKE,Oneok,Energy,Oil & Gas Storage & Transportation
ORCL,ORCL,Oracle Corporation,Information Technology,Application Software
OTIS,OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
PCAR,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
PKG,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
PLTR,PLTR,Palantir Technologies,Information Technology,Application Software
PANW,PANW,Palo Alto Networks,Information Technology,Systems Software
PSKY,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment
PH,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
PAYX,PAYX,Paychex,Industrials,Human Resource & Employment Services
PYPL,PYPL,PayPal,Financials,Transaction & Payment Processing Services
PNR,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components
PEP,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,PFE,Pfizer,Health Care,Pharmaceuticals
PCG,PCG,PG&E Corporation,Utilities,Multi-Utilities
PM,PM,Philip Morris International,Consumer Staples,Tobacco
PSX,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PNW,PNW,Pinnacle West Capital,Utilities,Multi-Utilities
PNC,PNC,PNC Financial Services,Financials,Diversified Banks
PPG,PPG,PPG Industries,Materials,Specialty Chemicals
PPL,PPL,PPL Corporation,Utilities,Electric Utilities
PFG,PFG,Principal Financial Group,Financials,Life & Health Insurance
PG,PG,Procter & Gamble,Consumer Staples,Personal Care Products
PGR,PGR,Progressive Corporation,Financials,Property & Casualty Insurance
