Company Name,Industry,Symbol,Series,ISIN Code,yfinance_symbol
Travel Food Services Ltd.,Consumer Services,TRAVELFOOD,EQ,INE103V01028,TRAVELFOOD.NS
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022,TRIDENT.NS
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016,TRITURBINE.NS
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018,UCOBANK.NS
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023,UNOMINDA.NS
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016,UTIAMC.NS
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025,UBL.NS
Urban Company Ltd.,Consumer Services,URBANCO,EQ,INE0CAZ01013,URBANCO.NS
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035,USHAMART.NS
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020,VTL.NS
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024,VIJAYA.NS
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,WELCORP.NS
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031,WELSPUNLIV.NS
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,WHIRLPOOL.NS
Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025,WOCKPHARMA.NS
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019,ZFCVINDIA.NS
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028,ZEEL.NS
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027,ZENTEC.NS
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027,ZENSARTECH.NS
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL,EQ,INE768C01028,ZYDUSWELL.NS
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010,ECLERX.NS
